CallFile,Site,Bird,Call,UniqueBird,UniqueCall
2006_07_22_MAD_b1_C0_1.wav.aif,Madera,1,1,MaderaB1,MaderaB1C1
2006_07_22_MAD_b1_C1_1.wav.aif,Madera,1,2,MaderaB1,MaderaB1C2
2006_07_22_MAD_b1_C2_1.wav.aif,Madera,1,3,MaderaB1,MaderaB1C3
2006_07_22_MAD_b1_C3_1.wav.aif,Madera,1,4,MaderaB1,MaderaB1C4
2006_07_22_MAD_b1_C6_1.wav.aif,Madera,1,5,MaderaB1,MaderaB1C5
2006_07_22_MAD_b7_C0_1.wav.aif,Madera,2,1,MaderaB2,MaderaB2C1
2006_07_22_MAD_b7_C2_1.wav.aif,Madera,2,2,MaderaB2,MaderaB2C2
2006_07_22_MAD_b7_C4_1.wav.aif,Madera,2,3,MaderaB2,MaderaB2C3
2006_07_22_MAD_b7_C6_1.wav.aif,Madera,2,4,MaderaB2,MaderaB2C4
2006_07_22_MAD_b7_C7_1.wav.aif,Madera,2,5,MaderaB2,MaderaB2C5
2006_07_22_MAD_N5_BE1_C0_1.wav.aif,Madera,3,1,MaderaB3,MaderaB3C1
2006_07_22_MAD_N5_BE1_C1_1.wav.aif,Madera,3,2,MaderaB3,MaderaB3C2
2006_07_22_MAD_N5_BE1_C2_1.wav.aif,Madera,3,3,MaderaB3,MaderaB3C3
2006_07_22_MAD_N5_BE1_C3_1.wav.aif,Madera,3,4,MaderaB3,MaderaB3C4
2006_07_22_MAD_N5_BE1_C4_1.wav.aif,Madera,3,5,MaderaB3,MaderaB3C5
2006_07_22_MAD_N5_BE3_C0_1.wav.aif,Madera,4,1,MaderaB4,MaderaB4C1
2006_07_22_MAD_N5_BE3_C1_1.wav.aif,Madera,4,2,MaderaB4,MaderaB4C2
2006_07_22_MAD_N5_BE3_C2_1.wav.aif,Madera,4,3,MaderaB4,MaderaB4C3
2006_07_22_MAD_N5_BE3_C3_1.wav.aif,Madera,4,4,MaderaB4,MaderaB4C4
2006_07_22_MAD_N5_BE3_C4_1.wav.aif,Madera,4,5,MaderaB4,MaderaB4C5
2006_07_22_MAD_N6_B1_C0_1.wav.aif,Madera,5,1,MaderaB5,MaderaB5C1
2006_07_22_MAD_N6_B1_C1_1.wav.aif,Madera,5,2,MaderaB5,MaderaB5C2
2006_07_22_MAD_N6_B1_C2_1.wav.aif,Madera,5,3,MaderaB5,MaderaB5C3
2006_07_22_MAD_N6_B1_C3_1.wav.aif,Madera,5,4,MaderaB5,MaderaB5C4
2006_07_22_MAD_N6_B1_C4_1.wav.aif,Madera,5,5,MaderaB5,MaderaB5C5
2006_07_23_MAD_b4_C0_1.wav.aif,Madera,6,1,MaderaB6,MaderaB6C1
2006_07_23_MAD_b4_C1_1.wav.aif,Madera,6,2,MaderaB6,MaderaB6C2
2006_07_23_MAD_b4_C2_1.wav.aif,Madera,6,3,MaderaB6,MaderaB6C3
2006_07_23_MAD_b4_C3_1.wav.aif,Madera,6,4,MaderaB6,MaderaB6C4
2006_07_23_MAD_b4_C4_1.wav.aif,Madera,6,5,MaderaB6,MaderaB6C5
2006_07_23_MAD_bleft_C0_1.wav.aif,Madera,7,1,MaderaB7,MaderaB7C1
2006_07_23_MAD_bleft_C1_1.wav.aif,Madera,7,2,MaderaB7,MaderaB7C2
2006_07_23_MAD_bleft_C2_1.wav.aif,Madera,7,3,MaderaB7,MaderaB7C3
2006_07_23_MAD_bleft_C3_1.wav.aif,Madera,7,4,MaderaB7,MaderaB7C4
2006_07_23_MAD_bleft_C5_1.wav.aif,Madera,7,5,MaderaB7,MaderaB7C5
2006_07_23_MAD_bpair8_C0_1.wav.aif,Madera,8,1,MaderaB8,MaderaB8C1
2006_07_23_MAD_bpair8_C1_1.wav.aif,Madera,8,2,MaderaB8,MaderaB8C2
2006_07_23_MAD_bpair8_C2_1.wav.aif,Madera,8,3,MaderaB8,MaderaB8C3
2006_07_23_MAD_bpair8_C4_1.wav.aif,Madera,8,4,MaderaB8,MaderaB8C4
2006_07_23_MAD_bpair8_C5_1.wav.aif,Madera,8,5,MaderaB8,MaderaB8C5
2006_07_23_MAD_VID_b1_C0_1.wav.aif,Madera,9,1,MaderaB9,MaderaB9C1
2006_07_23_MAD_VID_b1_C1_1.wav.aif,Madera,9,2,MaderaB9,MaderaB9C2
2006_07_23_MAD_VID_b1_C2_1.wav.aif,Madera,9,3,MaderaB9,MaderaB9C3
2006_07_23_MAD_VID_b1_C3_1.wav.aif,Madera,9,4,MaderaB9,MaderaB9C4
2006_07_23_MAD_VID_b1_C4_1.wav.aif,Madera,9,5,MaderaB9,MaderaB9C5
2006_07_23_MAD_VID_b2_C0_1.wav.aif,Madera,10,1,MaderaB10,MaderaB10C1
2006_07_23_MAD_VID_b2_C1_1.wav.aif,Madera,10,2,MaderaB10,MaderaB10C2
