CallFile,Site,Bird,Call,UniqueBird,UniqueCall
2006_07_23_MAD_VID_b2_C2_1.wav.aif,Madera,10,3,MaderaB10,MaderaB10C3
2006_07_23_MAD_VID_b2_C3_1.wav.aif,Madera,10,4,MaderaB10,MaderaB10C4
2006_07_23_MAD_VID_b2_C4_1.wav.aif,Madera,10,5,MaderaB10,MaderaB10C5
2006_07_24_TUT_b14_C0_1.wav.aif,Tutuaca,1,1,TutuacaB1,TutuacaB1C1
2006_07_24_TUT_b14_C1_1.wav.aif,Tutuaca,1,2,TutuacaB1,TutuacaB1C2
2006_07_24_TUT_b14_C2_1.wav.aif,Tutuaca,1,3,TutuacaB1,TutuacaB1C3
2006_07_24_TUT_b14_C3_1.wav.aif,Tutuaca,1,4,TutuacaB1,TutuacaB1C4
2006_07_24_TUT_b14_C4_1.wav.aif,Tutuaca,1,5,TutuacaB1,TutuacaB1C5
2006_07_24_TUT_b1_C0_1.wav.aif,Tutuaca,2,1,TutuacaB2,TutuacaB2C1
2006_07_24_TUT_b1_C2_1.wav.aif,Tutuaca,2,2,TutuacaB2,TutuacaB2C2
2006_07_24_TUT_b1_C3_1.wav.aif,Tutuaca,2,3,TutuacaB2,TutuacaB2C3
2006_07_24_TUT_b1_C4_1.wav.aif,Tutuaca,2,4,TutuacaB2,TutuacaB2C4
2006_07_24_TUT_b1_C6_1.wav.aif,Tutuaca,2,5,TutuacaB2,TutuacaB2C5
2006_07_24_TUT_b2_C0_1.wav.aif,Tutuaca,3,1,TutuacaB3,TutuacaB3C1
2006_07_24_TUT_b2_C1_1.wav.aif,Tutuaca,3,2,TutuacaB3,TutuacaB3C2
2006_07_24_TUT_b2_C2_1.wav.aif,Tutuaca,3,3,TutuacaB3,TutuacaB3C3
2006_07_24_TUT_b2_C3_1.wav.aif,Tutuaca,3,4,TutuacaB3,TutuacaB3C4
2006_07_24_TUT_b2_C4_1.wav.aif,Tutuaca,3,5,TutuacaB3,TutuacaB3C5
2006_07_24_TUT_b3_C0_1.wav.aif,Tutuaca,4,1,TutuacaB4,TutuacaB4C1
2006_07_24_TUT_b3_C1_1.wav.aif,Tutuaca,4,2,TutuacaB4,TutuacaB4C2
2006_07_24_TUT_b3_C2_1.wav.aif,Tutuaca,4,3,TutuacaB4,TutuacaB4C3
2006_07_24_TUT_b3_C3_1.wav.aif,Tutuaca,4,4,TutuacaB4,TutuacaB4C4
2006_07_24_TUT_b3_C4_1.wav.aif,Tutuaca,4,5,TutuacaB4,TutuacaB4C5
2006_07_25_TUT_N7_B1_C0_1.wav.aif,Tutuaca,5,1,TutuacaB5,TutuacaB5C1
2006_07_25_TUT_N7_B1_C1_1.wav.aif,Tutuaca,5,2,TutuacaB5,TutuacaB5C2
2006_07_25_TUT_N7_B1_C2_1.wav.aif,Tutuaca,5,3,TutuacaB5,TutuacaB5C3
2006_07_25_TUT_N7_B1_C3_1.wav.aif,Tutuaca,5,4,TutuacaB5,TutuacaB5C4
2006_07_25_TUT_N7_B1_C4_1.wav.aif,Tutuaca,5,5,TutuacaB5,TutuacaB5C5
2006_07_25_TUT_VID_b1_C0_1.wav.aif,Tutuaca,6,1,TutuacaB6,TutuacaB6C1
2006_07_25_TUT_VID_b1_C11_1.wav.aif,Tutuaca,6,2,TutuacaB6,TutuacaB6C2
2006_07_25_TUT_VID_b1_C12_1.wav.aif,Tutuaca,6,3,TutuacaB6,TutuacaB6C3
2006_07_25_TUT_VID_b1_C2_1.wav.aif,Tutuaca,6,4,TutuacaB6,TutuacaB6C4
2006_07_25_TUT_VID_b1_C3_1.wav.aif,Tutuaca,6,5,TutuacaB6,TutuacaB6C5
2006_07_25_TUT_VID_b2_C0_1.wav.aif,Tutuaca,7,1,TutuacaB7,TutuacaB7C1
2006_07_25_TUT_VID_b2_C1_1.wav.aif,Tutuaca,7,2,TutuacaB7,TutuacaB7C2
2006_07_25_TUT_VID_b2_C2_1.wav.aif,Tutuaca,7,3,TutuacaB7,TutuacaB7C3
2006_07_25_TUT_VID_b2_C3_1.wav.aif,Tutuaca,7,4,TutuacaB7,TutuacaB7C4
2006_07_25_TUT_VID_b2_C4_1.wav.aif,Tutuaca,7,5,TutuacaB7,TutuacaB7C5
2006_07_25_TUT_VID_b3_C0_1.wav.aif,Tutuaca,8,1,TutuacaB8,TutuacaB8C1
2006_07_25_TUT_VID_b3_C2_1.wav.aif,Tutuaca,8,2,TutuacaB8,TutuacaB8C2
2006_07_25_TUT_VID_b3_C4_1.wav.aif,Tutuaca,8,3,TutuacaB8,TutuacaB8C3
2006_07_25_TUT_VID_b3_C7_1.wav.aif,Tutuaca,8,4,TutuacaB8,TutuacaB8C4
2006_07_25_TUT_VID_b3_C9_1.wav.aif,Tutuaca,8,5,TutuacaB8,TutuacaB8C5
2006_07_25_TUT_VID_b4_C0_1.wav.aif,Tutuaca,9,1,TutuacaB9,TutuacaB9C1
2006_07_25_TUT_VID_b4_C1_1.wav.aif,Tutuaca,9,2,TutuacaB9,TutuacaB9C2
2006_07_25_TUT_VID_b4_C3_1.wav.aif,Tutuaca,9,3,TutuacaB9,TutuacaB9C3
2006_07_25_TUT_VID_b4_C4_1.wav.aif,Tutuaca,9,4,TutuacaB9,TutuacaB9C4
2006_07_25_TUT_VID_b4_C5_1.wav.aif,Tutuaca,9,5,TutuacaB9,TutuacaB9C5
2006_07_25_TUT_VID_b5_C0_1.wav.aif,Tutuaca,10,1,TutuacaB10,TutuacaB10C1
2006_07_25_TUT_VID_b5_C2_1.wav.aif,Tutuaca,10,2,TutuacaB10,TutuacaB10C2
2006_07_25_TUT_VID_b5_C3_1.wav.aif,Tutuaca,10,3,TutuacaB10,TutuacaB10C3
2006_07_25_TUT_VID_b5_C4_1.wav.aif,Tutuaca,10,4,TutuacaB10,TutuacaB10C4
2006_07_25_TUT_VID_b5_C5_1.wav.aif,Tutuaca,10,5,TutuacaB10,TutuacaB10C5
2006_07_28_MES_b1_C0_1.wav.aif,Mesa,1,1,MesaB1,MesaB1C1
2006_07_28_MES_b1_C1_1.wav.aif,Mesa,1,2,MesaB1,MesaB1C2
2006_07_28_MES_b1_C2_1.wav.aif,Mesa,1,3,MesaB1,MesaB1C3
2006_07_28_MES_b1_C3_1.wav.aif,Mesa,1,4,MesaB1,MesaB1C4
2006_07_28_MES_b1_C4_1.wav.aif,Mesa,1,5,MesaB1,MesaB1C5
2006_07_28_MES_b2_C0_1.wav.aif,Mesa,2,1,MesaB2,MesaB2C1
2006_07_28_MES_b2_C1_1.wav.aif,Mesa,2,2,MesaB2,MesaB2C2
2006_07_28_MES_b2_C2_1.wav.aif,Mesa,2,3,MesaB2,MesaB2C3
2006_07_28_MES_b2_C3_1.wav.aif,Mesa,2,4,MesaB2,MesaB2C4
2006_07_28_MES_b2_C4_1.wav.aif,Mesa,2,5,MesaB2,MesaB2C5
2006_07_28_MES_b3_C0_1.wav.aif,Mesa,3,1,MesaB3,MesaB3C1
2006_07_28_MES_b3_C1_1.wav.aif,Mesa,3,2,MesaB3,MesaB3C2
2006_07_28_MES_b3_C2_1.wav.aif,Mesa,3,3,MesaB3,MesaB3C3
2006_07_28_MES_b3_C3_1.wav.aif,Mesa,3,4,MesaB3,MesaB3C4
2006_07_28_MES_b3_C4_1.wav.aif,Mesa,3,5,MesaB3,MesaB3C5
2006_07_28_MES_b5_C0_1.wav.aif,Mesa,4,1,MesaB4,MesaB4C1
2006_07_28_MES_b5_C1_1.wav.aif,Mesa,4,2,MesaB4,MesaB4C2
2006_07_28_MES_b5_C3_1.wav.aif,Mesa,4,3,MesaB4,MesaB4C3
2006_07_28_MES_b5_C4_1.wav.aif,Mesa,4,4,MesaB4,MesaB4C4
2006_07_28_MES_b5_C5_1.wav.aif,Mesa,4,5,MesaB4,MesaB4C5
2006_07_29_MES_b10_C0_1.wav.aif,Mesa,5,1,MesaB5,MesaB5C1
2006_07_29_MES_b10_C1_1.wav.aif,Mesa,5,2,MesaB5,MesaB5C2
2006_07_29_MES_b10_C2_1.wav.aif,Mesa,5,3,MesaB5,MesaB5C3
2006_07_29_MES_b10_C3_1.wav.aif,Mesa,5,4,MesaB5,MesaB5C4
2006_07_29_MES_b10_C4_1.wav.aif,Mesa,5,5,MesaB5,MesaB5C5
2006_07_29_MES_b11_C0_1.wav.aif,Mesa,6,1,MesaB6,MesaB6C1
2006_07_29_MES_b11_C1_1.wav.aif,Mesa,6,2,MesaB6,MesaB6C2
2006_07_29_MES_b11_C2_1.wav.aif,Mesa,6,3,MesaB6,MesaB6C3
2006_07_29_MES_b11_C3_1.wav.aif,Mesa,6,4,MesaB6,MesaB6C4
2006_07_29_MES_b11_C5_1.wav.aif,Mesa,6,5,MesaB6,MesaB6C5
2006_07_29_MES_b7_C0_1.wav.aif,Mesa,7,1,MesaB7,MesaB7C1
2006_07_29_MES_b7_C1_1.wav.aif,Mesa,7,2,MesaB7,MesaB7C2
2006_07_29_MES_b7_C2_1.wav.aif,Mesa,7,3,MesaB7,MesaB7C3
2006_07_29_MES_b7_C5_1.wav.aif,Mesa,7,4,MesaB7,MesaB7C4
2006_07_29_MES_b7_C7_1.wav.aif,Mesa,7,5,MesaB7,MesaB7C5
2006_07_29_MES_b8_C0_1.wav.aif,Mesa,8,1,MesaB8,MesaB8C1
2006_07_29_MES_b8_C1_1.wav.aif,Mesa,8,2,MesaB8,MesaB8C2
2006_07_29_MES_b8_C2_1.wav.aif,Mesa,8,3,MesaB8,MesaB8C3
2006_07_29_MES_b8_C3_1.wav.aif,Mesa,8,4,MesaB8,MesaB8C4
2006_07_29_MES_b8_C4_1.wav.aif,Mesa,8,5,MesaB8,MesaB8C5
2006_07_29_MES_b9_C0_1.wav.aif,Mesa,9,1,MesaB9,MesaB9C1
2006_07_29_MES_b9_C1_1.wav.aif,Mesa,9,2,MesaB9,MesaB9C2
2006_07_29_MES_b9_C2_1.wav.aif,Mesa,9,3,MesaB9,MesaB9C3
2006_07_29_MES_b9_C3_1.wav.aif,Mesa,9,4,MesaB9,MesaB9C4
2006_07_29_MES_b9_C4_1.wav.aif,Mesa,9,5,MesaB9,MesaB9C5
