CallFile,Year,Dialect,Site,Bird,Call,UniqueBird,UniqueCall,UniqueName
baju 1.2,1994,Sou,baju,1,2,baju1,baju1.2,1994_Sou_baju 1.2
baju 1.3,1994,Sou,baju,1,3,baju1,baju1.3,1994_Sou_baju 1.3
baju 1.4,1994,Sou,baju,1,4,baju1,baju1.4,1994_Sou_baju 1.4
baju 1.5,1994,Sou,baju,1,5,baju1,baju1.5,1994_Sou_baju 1.5
baju 1.6,1994,Sou,baju,1,6,baju1,baju1.6,1994_Sou_baju 1.6
baju 1.7,1994,Sou,baju,1,7,baju1,baju1.7,1994_Sou_baju 1.7
baju 1.8,1994,Sou,baju,1,8,baju1,baju1.8,1994_Sou_baju 1.8
baju 1.9,1994,Sou,baju,1,9,baju1,baju1.9,1994_Sou_baju 1.9
baju 2.0,1994,Sou,baju,2,0,baju2,baju2.0,1994_Sou_baju 2.0
baju 2.1,1994,Sou,baju,2,1,baju2,baju2.1,1994_Sou_baju 2.1
baju 2.2,1994,Sou,baju,2,2,baju2,baju2.2,1994_Sou_baju 2.2
baju 2.3,1994,Sou,baju,2,3,baju2,baju2.3,1994_Sou_baju 2.3
baju 2.4,1994,Sou,baju,2,4,baju2,baju2.4,1994_Sou_baju 2.4
baju 2.5,1994,Sou,baju,2,5,baju2,baju2.5,1994_Sou_baju 2.5
