CallFile,Year,Dialect,Site,Bird,Call,UniqueBird,UniqueCall,UniqueName
jeron.n1.0,1994,Nor,jeron,1,0,jeron1,jeronn1.0,1994_NorBil_jeron.n1.0
jeron.n1.1,1994,Nor,jeron,1,1,jeron1,jeronn1.1,1994_NorBil_jeron.n1.1
jeron.n1.2,1994,Nor,jeron,1,2,jeron1,jeronn1.2,1994_NorBil_jeron.n1.2
jeron.n1.3,1994,Nor,jeron,1,3,jeron1,jeronn1.3,1994_NorBil_jeron.n1.3
jeron.n1.4,1994,Nor,jeron,1,4,jeron1,jeronn1.4,1994_NorBil_jeron.n1.4
jeron.n1.5,1994,Nor,jeron,1,5,jeron1,jeronn1.5,1994_NorBil_jeron.n1.5
jeron.n1.6,1994,Nor,jeron,1,6,jeron1,jeronn1.6,1994_NorBil_jeron.n1.6
jeron.n1.7,1994,Nor,jeron,1,7,jeron1,jeronn1.7,1994_NorBil_jeron.n1.7
jeron.n1.8,1994,Nor,jeron,1,8,jeron1,jeronn1.8,1994_NorBil_jeron.n1.8
jeron.n1.9,1994,Nor,jeron,1,9,jeron1,jeron+K461n1.9,1994_NorBil_jeron.n1.9
baju 1.0,1994,Sou,baju,1,0,baju1,baju1.0,1994_Sou_baju 1.0
baju 1.1,1994,Sou,baju,1,1,baju1,baju1.1,1994_Sou_baju 1.1
