Call File,Site,Individual,Call sample,UniqueBird,UniqueCall
2006_07_22_MAD_b2_C0.aif,Madera,1,1,MaderaB1,MaderaB1C1
2006_07_22_MAD_b2_C1.aif,Madera,1,2,MaderaB1,MaderaB1C2
2006_07_22_MAD_b2_C2.aif,Madera,1,3,MaderaB1,MaderaB1C3
2006_07_22_MAD_b2_C3.aif,Madera,1,4,MaderaB1,MaderaB1C4
2006_07_22_MAD_b2_C4.aif,Madera,1,5,MaderaB1,MaderaB1C5
2006_07_22_MAD_b4_C0.aif,Madera,2,1,MaderaB2,MaderaB2C1
2006_07_22_MAD_b4_C1.aif,Madera,2,2,MaderaB2,MaderaB2C2
2006_07_22_MAD_b4_C2.aif,Madera,2,3,MaderaB2,MaderaB2C3
2006_07_22_MAD_b4_C3.aif,Madera,2,4,MaderaB2,MaderaB2C4
2006_07_22_MAD_b4_C4.aif,Madera,2,5,MaderaB2,MaderaB2C5
2006_07_22_MAD_VID_Rb1_C0.aif,Madera,3,1,MaderaB3,MaderaB3C1
2006_07_22_MAD_VID_Rb1_C1.aif,Madera,3,2,MaderaB3,MaderaB3C2
2006_07_22_MAD_VID_Rb1_C2.aif,Madera,3,3,MaderaB3,MaderaB3C3
2006_07_22_MAD_VID_Rb1_C3.aif,Madera,3,4,MaderaB3,MaderaB3C4
2006_07_22_MAD_VID_Rb1_C4.aif,Madera,3,5,MaderaB3,MaderaB3C5
2006_07_23_MAD_b5_C0.aif,Madera,4,1,MaderaB4,MaderaB4C1
2006_07_23_MAD_b5_C1.aif,Madera,4,2,MaderaB4,MaderaB4C2
2006_07_23_MAD_b5_C2.aif,Madera,4,3,MaderaB4,MaderaB4C3
2006_07_23_MAD_b5_C3.aif,Madera,4,4,MaderaB4,MaderaB4C4
2006_07_23_MAD_b5_C4.aif,Madera,4,5,MaderaB4,MaderaB4C5
2006_07_23_MAD_VID_Rb2_C0.aif,Madera,5,1,MaderaB5,MaderaB5C1
2006_07_23_MAD_VID_Rb2_C1.aif,Madera,5,2,MaderaB5,MaderaB5C2
2006_07_23_MAD_VID_Rb2_C2.aif,Madera,5,3,MaderaB5,MaderaB5C3
2006_07_23_MAD_VID_Rb2_C3.aif,Madera,5,4,MaderaB5,MaderaB5C4
2006_07_23_MAD_VID_Rb2_C4.aif,Madera,5,5,MaderaB5,MaderaB5C5
2006_07_24_TUT_b2_C0.aif,Tutuaca,1,1,TutuacaB1,TutuacaB1C1
2006_07_24_TUT_b2_C1.aif,Tutuaca,1,2,TutuacaB1,TutuacaB1C2
2006_07_24_TUT_b2_C2.aif,Tutuaca,1,3,TutuacaB1,TutuacaB1C3
2006_07_24_TUT_b2_C3.aif,Tutuaca,1,4,TutuacaB1,TutuacaB1C4
2006_07_24_TUT_b2_C4.aif,Tutuaca,1,5,TutuacaB1,TutuacaB1C5
2006_07_24_TUT_b3_C0.aif,Tutuaca,2,1,TutuacaB2,TutuacaB2C1
2006_07_24_TUT_b3_C1.aif,Tutuaca,2,2,TutuacaB2,TutuacaB2C2
2006_07_24_TUT_b3_C2.aif,Tutuaca,2,3,TutuacaB2,TutuacaB2C3
2006_07_24_TUT_b3_C3.aif,Tutuaca,2,4,TutuacaB2,TutuacaB2C4
2006_07_24_TUT_b3_C4.aif,Tutuaca,2,5,TutuacaB2,TutuacaB2C5
2006_07_25_TUT_b2B_C0.aif,Tutuaca,3,1,TutuacaB3,TutuacaB3C1
2006_07_25_TUT_b2B_C1.aif,Tutuaca,3,2,TutuacaB3,TutuacaB3C2
2006_07_25_TUT_b2B_C2.aif,Tutuaca,3,3,TutuacaB3,TutuacaB3C3
2006_07_25_TUT_b2B_C3.aif,Tutuaca,3,4,TutuacaB3,TutuacaB3C4
2006_07_25_TUT_b2B_C4.aif,Tutuaca,3,5,TutuacaB3,TutuacaB3C5
2006_07_25_TUT_b4_C0.aif,Tutuaca,4,1,TutuacaB4,TutuacaB4C1
2006_07_25_TUT_b4_C1.aif,Tutuaca,4,2,TutuacaB4,TutuacaB4C2
2006_07_25_TUT_b4_C2.aif,Tutuaca,4,3,TutuacaB4,TutuacaB4C3
2006_07_25_TUT_b4_C3.aif,Tutuaca,4,4,TutuacaB4,TutuacaB4C4
2006_07_25_TUT_b4_C4.aif,Tutuaca,4,5,TutuacaB4,TutuacaB4C5
2006_07_25_TUT_VID_Rb1_C0.aif,Tutuaca,5,1,TutuacaB5,TutuacaB5C1
2006_07_25_TUT_VID_Rb1_C1.aif,Tutuaca,5,2,TutuacaB5,TutuacaB5C2
2006_07_25_TUT_VID_Rb1_C2.aif,Tutuaca,5,3,TutuacaB5,TutuacaB5C3
2006_07_25_TUT_VID_Rb1_C3.aif,Tutuaca,5,4,TutuacaB5,TutuacaB5C4
2006_07_25_TUT_VID_Rb1_C4.aif,Tutuaca,5,5,TutuacaB5,TutuacaB5C5
2006_07_28_MES_b1_C0.aif,Mesa,1,1,MesaB1,MesaB1C1
2006_07_28_MES_b1_C1.aif,Mesa,1,2,MesaB1,MesaB1C2
2006_07_28_MES_b1_C2.aif,Mesa,1,3,MesaB1,MesaB1C3
2006_07_28_MES_b1_C3.aif,Mesa,1,4,MesaB1,MesaB1C4
2006_07_28_MES_b1_C4.aif,Mesa,1,5,MesaB1,MesaB1C5
2006_07_28_MES_b9B_C0.aif,Mesa,2,1,MesaB2,MesaB2C1
2006_07_28_MES_b9B_C1.aif,Mesa,2,2,MesaB2,MesaB2C2
2006_07_28_MES_b9B_C2.aif,Mesa,2,3,MesaB2,MesaB2C3
2006_07_28_MES_b9B_C3.aif,Mesa,2,4,MesaB2,MesaB2C4
2006_07_28_MES_b9B_C4.aif,Mesa,2,5,MesaB2,MesaB2C5
2006_07_29_MES_b11_C0.aif,Mesa,3,1,MesaB3,MesaB3C1
2006_07_29_MES_b11_C1.aif,Mesa,3,2,MesaB3,MesaB3C2
2006_07_29_MES_b11_C2.aif,Mesa,3,3,MesaB3,MesaB3C3
2006_07_29_MES_b11_C3.aif,Mesa,3,4,MesaB3,MesaB3C4
2006_07_29_MES_b11_C4.aif,Mesa,3,5,MesaB3,MesaB3C5
2006_07_29_MES_b2_C0.aif,Mesa,4,1,MesaB4,MesaB4C1
2006_07_29_MES_b2_C1.aif,Mesa,4,2,MesaB4,MesaB4C2
2006_07_29_MES_b2_C2.aif,Mesa,4,3,MesaB4,MesaB4C3
2006_07_29_MES_b2_C3.aif,Mesa,4,4,MesaB4,MesaB4C4
2006_07_29_MES_b2_C4.aif,Mesa,4,5,MesaB4,MesaB4C5
2006_07_29_MES_b8_C0.aif,Mesa,5,1,MesaB5,MesaB5C1
2006_07_29_MES_b8_C1.aif,Mesa,5,2,MesaB5,MesaB5C2
2006_07_29_MES_b8_C2.aif,Mesa,5,3,MesaB5,MesaB5C3
2006_07_29_MES_b8_C3.aif,Mesa,5,4,MesaB5,MesaB5C4
2006_07_29_MES_b8_C4.aif,Mesa,5,5,MesaB5,MesaB5C5
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
,,,,B,BC
