CallFile,Year,Dialect,Site,UniqueBird,UniqueCall
2005_06_06_INOC_B2_C9.aif,2005,Nica,INOC,INOC_B2,INOC_B2_C9
2005_06_06_INOC_B5_C0.aif,2005,Nica,INOC,INOC_B5,INOC_B5_C0
2005_06_06_INOC_B5_C1.aif,2005,Nica,INOC,INOC_B5,INOC_B5_C1
2005_06_06_INOC_B5_C2.aif,2005,Nica,INOC,INOC_B5,INOC_B5_C2
2005_06_06_INOC_B5_C3.aif,2005,Nica,INOC,INOC_B5,INOC_B5_C3
2005_06_06_INOC_B5_C4.aif,2005,Nica,INOC,INOC_B5,INOC_B5_C4
2005_06_06_INOC_B5_C5.aif,2005,Nica,INOC,INOC_B5,INOC_B5_C5
2005_06_06_INOC_B5_C6.aif,2005,Nica,INOC,INOC_B5,INOC_B5_C6
2005_06_06_INOC_B5_C7.aif,2005,Nica,INOC,INOC_B5,INOC_B5_C7
2005_06_06_INOC_B5_C8.aif,2005,Nica,INOC,INOC_B5,INOC_B5_C8
2005_06_06_INOC_B5_C9.aif,2005,Nica,INOC,INOC_B5,INOC_B5_C9
2005_06_06_INOC_B9_C0.aif,2005,Nica,INOC,INOC_B9,INOC_B9_C0
2005_06_06_INOC_B9_C1.aif,2005,Nica,INOC,INOC_B9,INOC_B9_C1
2005_06_06_INOC_B9_C2.aif,2005,Nica,INOC,INOC_B9,INOC_B9_C2
2005_06_06_INOC_B9_C3.aif,2005,Nica,INOC,INOC_B9,INOC_B9_C3
2005_06_06_INOC_B9_C4.aif,2005,Nica,INOC,INOC_B9,INOC_B9_C4
2005_06_06_INOC_B9_C5.aif,2005,Nica,INOC,INOC_B9,INOC_B9_C5
2005_06_06_INOC_B9_C6.aif,2005,Nica,INOC,INOC_B9,INOC_B9_C6
2005_06_06_INOC_B9_C7.aif,2005,Nica,INOC,INOC_B9,INOC_B9_C7
2005_06_06_INOC_B9_C8.aif,2005,Nica,INOC,INOC_B9,INOC_B9_C8
2005_06_06_INOC_B9_C9.aif,2005,Nica,INOC,INOC_B9,INOC_B9_C9
2005_06_06_PARC_B10_C0.aif,2005,Nica,PARC,PARC_B1,PARC_B10_C0
2005_06_06_PARC_B10_C1.aif,2005,Nica,PARC,PARC_B1,PARC_B10_C1
2005_06_06_PARC_B10_C2.aif,2005,Nica,PARC,PARC_B1,PARC_B10_C2
2005_06_06_PARC_B10_C3.aif,2005,Nica,PARC,PARC_B1,PARC_B10_C3
2005_06_06_PARC_B10_C4.aif,2005,Nica,PARC,PARC_B1,PARC_B10_C4
2005_06_06_PARC_B10_C5.aif,2005,Nica,PARC,PARC_B1,PARC_B10_C5
2005_06_06_PARC_B10_C6.aif,2005,Nica,PARC,PARC_B1,PARC_B10_C6
2005_06_06_PARC_B10_C7.aif,2005,Nica,PARC,PARC_B1,PARC_B10_C7
2005_06_06_PARC_B10_C8.aif,2005,Nica,PARC,PARC_B1,PARC_B10_C8
2005_06_06_PARC_B11_C0.aif,2005,Nica,PARC,PARC_B1,PARC_B11_C0
2005_06_06_PARC_B11_C1.aif,2005,Nica,PARC,PARC_B1,PARC_B11_C1
2005_06_06_PARC_B11_C2.aif,2005,Nica,PARC,PARC_B1,PARC_B11_C2
2005_06_06_PARC_B11_C3.aif,2005,Nica,PARC,PARC_B1,PARC_B11_C3
2005_06_06_PARC_B11_C4.aif,2005,Nica,PARC,PARC_B1,PARC_B11_C4
2005_06_06_PARC_B11_C5.aif,2005,Nica,PARC,PARC_B1,PARC_B11_C5
2005_06_06_PARC_B11_C6.aif,2005,Nica,PARC,PARC_B1,PARC_B11_C6
2005_06_06_PARC_B12_C0.aif,2005,Nica,PARC,PARC_B1,PARC_B12_C0
2005_06_06_PARC_B12_C1.aif,2005,Nica,PARC,PARC_B1,PARC_B12_C1
2005_06_06_PARC_B12_C2.aif,2005,Nica,PARC,PARC_B1,PARC_B12_C2
2005_06_06_PARC_B12_C3.aif,2005,Nica,PARC,PARC_B1,PARC_B12_C3
2005_06_06_PARC_B12_C4.aif,2005,Nica,PARC,PARC_B1,PARC_B12_C4
2005_06_06_PARC_B12_C5.aif,2005,Nica,PARC,PARC_B1,PARC_B12_C5
2005_06_06_PARC_B12_C6.aif,2005,Nica,PARC,PARC_B1,PARC_B12_C6
2005_06_06_PARC_B12_C7.aif,2005,Nica,PARC,PARC_B1,PARC_B12_C7
2005_06_06_PARC_B12_C8.aif,2005,Nica,PARC,PARC_B1,PARC_B12_C8
2005_06_06_PARC_B12_C9.aif,2005,Nica,PARC,PARC_B1,PARC_B12_C9
2005_06_06_PARC_B1_C0.aif,2005,Nica,PARC,PARC_B1,PARC_B1_C0
2005_06_06_PARC_B1_C1.aif,2005,Nica,PARC,PARC_B1,PARC_B1_C1
2005_06_06_PARC_B1_C2.aif,2005,Nica,PARC,PARC_B1,PARC_B1_C2
2005_06_06_PARC_B1_C3.aif,2005,Nica,PARC,PARC_B1,PARC_B1_C3
2005_06_06_PARC_B1_C4.aif,2005,Nica,PARC,PARC_B1,PARC_B1_C4
2005_06_06_PARC_B1_C5.aif,2005,Nica,PARC,PARC_B1,PARC_B1_C5
2005_06_06_PARC_B1_C6.aif,2005,Nica,PARC,PARC_B1,PARC_B1_C6
2005_06_06_PARC_B1_C7.aif,2005,Nica,PARC,PARC_B1,PARC_B1_C7
2005_06_06_PARC_B1_C8.aif,2005,Nica,PARC,PARC_B1,PARC_B1_C8
2005_06_06_PARC_B1_C9.aif,2005,Nica,PARC,PARC_B1,PARC_B1_C9
2005_06_06_PARC_B2_C0.aif,2005,Nica,PARC,PARC_B2,PARC_B2_C0
2005_06_06_PARC_B2_C1.aif,2005,Nica,PARC,PARC_B2,PARC_B2_C1
2005_06_06_PARC_B2_C2.aif,2005,Nica,PARC,PARC_B2,PARC_B2_C2
2005_06_06_PARC_B2_C3.aif,2005,Nica,PARC,PARC_B2,PARC_B2_C3
2005_06_06_PARC_B2_C4.aif,2005,Nica,PARC,PARC_B2,PARC_B2_C4
2005_06_06_PARC_B2_C5.aif,2005,Nica,PARC,PARC_B2,PARC_B2_C5
2005_06_06_PARC_B2_C6.aif,2005,Nica,PARC,PARC_B2,PARC_B2_C6
2005_06_06_PARC_B2_C7.aif,2005,Nica,PARC,PARC_B2,PARC_B2_C7
2005_06_06_PARC_B2_C8.aif,2005,Nica,PARC,PARC_B2,PARC_B2_C8
2005_06_06_PARC_B2_C9.aif,2005,Nica,PARC,PARC_B2,PARC_B2_C9
2005_06_06_PARC_B3_C0.aif,2005,Nica,PARC,PARC_B3,PARC_B3_C0
2005_06_06_PARC_B3_C1.aif,2005,Nica,PARC,PARC_B3,PARC_B3_C1
2005_06_06_PARC_B3_C2.aif,2005,Nica,PARC,PARC_B3,PARC_B3_C2
2005_06_06_PARC_B3_C3.aif,2005,Nica,PARC,PARC_B3,PARC_B3_C3
